"Country","Climate zone","Avg °F","Avg °C","Total Score and Status","Population","GDP","HDI","death_number"
"Rwanda","CFB",68.79,20.44,"22 Not Free",12626938,10356327149,0.534,86212.1250998531
"Samoa","AW",81.77,27.65,"83 Free",197093,852007104.7,0.715,285.969292789694
"Samoa","AW",81.77,27.65,"83 Free",197093,852007104.7,0.715,6895.82606503793
"San Marino","CFB",61.99,16.66,"93 Free",33864,1616231696,0.862,37.0354765927075
"San Marino","CFB",61.99,16.66,"93 Free",33864,1616231696,0.862,494.58461541054
"Saudi Arabia","BWH",80.62,27.01,"7 Not Free",34268529,8.03616e+11,0.873,29689.0647009097
"Saudi Arabia","BWH",80.62,27.01,"7 Not Free",34268529,8.03616e+11,0.873,883559.460912733
"Senegal","BSH",86.58,30.32,"68 Partly Free",16296362,23398811424,0.513,7130.94448008895
"Senegal","BSH",86.58,30.32,"68 Partly Free",16296362,23398811424,0.513,151410.476677705
"Serbia","CFB",55.85,13.25,"62 Partly Free",6945235,51514222382,0.811,28365.381439218
"Serbia","CFB",55.85,13.25,"62 Partly Free",6945235,51514222382,0.811,452758.113836732
"Seychelles","AF",81.66,27.59,"79 Free",97625,1684228529,0.802,107.67089336987
"Seychelles","AF",81.66,27.59,"79 Free",97625,1684228529,0.802,2368.23816182531
"Sierra Leone","AM",81.7,27.61,"65 Partly Free",7813207,4076578543,0.48,3920.25439215182
"Sierra Leone","AM",81.7,27.61,"65 Partly Free",7813207,4076578543,0.48,88630.2557993353
"Singapore","AF",77.18,25.1,"47 Partly Free",5703569,3.75473e+11,0.943,3833.27702859957
"Singapore","AF",77.18,25.1,"47 Partly Free",5703569,3.75473e+11,0.943,72072.668261667
"Slovakia","DFB",51.4,10.78,"90 Free",NA,NA,0.862,17777.3907712489
"Slovakia","DFB",51.4,10.78,"90 Free",NA,NA,0.862,275504.521704677
"Slovenia","CFB",53.24,11.8,"90 Free",2088385,54178877606,0.921,2979.77341428849
"Slovenia","CFB",53.24,11.8,"90 Free",2088385,54178877606,0.921,44141.2952174044
"Solomon Islands","AF",81.97,27.76,"79 Free",669821,1570093229,0.567,1242.68941569071
"Solomon Islands","AF",81.97,27.76,"79 Free",669821,1570093229,0.567,40068.5355001405
"Somalia","BWH",82.24,27.91,"7 Not Free",15442906,6476674592,NA,6390.02767354725
"Somalia","BWH",82.24,27.91,"7 Not Free",15442906,6476674592,NA,178878.318831985
"South Africa","BWK",70.2,21.22,"79 Free",58558267,3.87935e+11,0.736,30470.1166215028
"South Africa","BWK",70.2,21.22,"79 Free",58558267,3.87935e+11,0.736,648992.172147947
"South Korea","DWB",56.48,13.6,"83 Free",NA,NA,NA,NA
"South Sudan","AW",85.1,29.5,"1 Not Free",11062114,NA,0.393,2491.35536237765
